completed_duration_days,completed_duration_hours,branch_code,latitude,longitude,quantity,net_charge,payment_duration_days,haversine_distance_miles,requests_per_day,completed_per_day,cycle_count,sale_price,signs_per_district,cluster,cluster_colour
1.99,47.8,450,50.81469451,-0.369929518,1,3.8,51.8,3508.579239,75,60,4,315000,2053,2,Purple
1.13,27.1,450,50.81469451,-0.369929518,1,3.8,11.1,3508.579239,75,54,4,315000,2053,2,Purple
0.04,0.9,450,50.81469451,-0.369929518,1,3.8,13.6,3508.579239,57,108,4,315000,2053,2,Purple
2.26,54.3,450,50.81770584,-0.37111655,1,3.8,51.8,3508.787582,67,41,2,293000,2053,2,Purple
0.81,19.5,450,50.81509354,-0.366309949,1,3.8,51.8,3508.605481,72,63,1,230000,2053,2,Purple
1.7,40.9,450,50.81556888,-0.358417,1,3.8,33.3,3508.63549,38,10,3,440000,2053,0,Pink
0.9,21.6,450,50.81556888,-0.358417,1,3.8,33.3,3508.63549,51,44,3,440000,2053,0,Pink
1.95,46.7,450,50.81556888,-0.358417,1,3.8,64.5,3508.63549,81,30,3,440000,2053,0,Pink
0.18,4.3,450,50.81432162,-0.356173004,1,3.8,18.3,3508.548588,39,36,2,520000,2053,3,Dark Purple
1.7,40.9,450,50.81432162,-0.356173004,1,3.8,33.3,3508.548588,58,44,2,520000,2053,3,Dark Purple
2.0,48.1,450,50.8183909,-0.361595202,1,3.8,41.8,3508.831455,75,83,2,290000,2053,2,Purple
0.96,23.0,460,50.82144486,-0.352387709,1,3.8,13.3,3509.039081,74,48,1,283000,2053,2,Purple
2.2,52.9,452,50.8137505,-0.377045767,1,3.8,33.3,3508.516673,57,43,2,380000,2053,0,Pink
0.9,21.7,452,50.8137505,-0.377045767,1,3.8,18.3,3508.516673,9,20,2,380000,2053,0,Pink
0.92,22.0,452,50.81559089,-0.398942733,1,3.8,82.1,3508.652084,54,36,1,359950,2053,0,Pink
1.21,29.1,400,50.81530885,-0.400017047,1,3.8,103.1,3508.633033,63,29,2,495000,2053,0,Pink
0.11,2.6,400,50.81530885,-0.400017047,1,3.8,38.9,3508.633033,67,48,2,495000,2053,0,Pink
0.83,19.9,400,50.80990457,-0.402032699,1,3.8,103.1,3508.260702,67,97,4,425000,2053,0,Pink
0.94,22.5,400,50.80990457,-0.402032699,1,3.8,36.2,3508.260702,63,89,4,425000,2053,0,Pink
0.76,18.2,400,50.80990457,-0.402032699,1,3.8,51.7,3508.260702,72,63,4,425000,2053,0,Pink
1.12,27.0,400,50.80990457,-0.402032699,1,3.8,27.3,3508.260702,67,53,4,425000,2053,0,Pink
2.01,48.3,400,50.81093648,-0.41108182,1,3.8,82.1,3508.335562,54,37,5,470000,2053,0,Pink
0.06,1.5,400,50.81093648,-0.41108182,1,3.8,71.8,3508.335562,88,84,5,470000,2053,0,Pink
0.95,22.7,400,50.81093648,-0.41108182,1,3.8,41.8,3508.335562,100,39,5,470000,2053,0,Pink
3.04,72.9,400,50.81093648,-0.41108182,1,3.8,68.3,3508.335562,91,33,5,470000,2053,0,Pink
0.2,4.9,400,50.81489714,-0.404758207,1,3.8,68.3,3508.606481,59,112,4,430000,2053,0,Pink
0.89,21.2,400,50.81489714,-0.404758207,1,3.8,68.3,3508.606481,52,79,4,430000,2053,0,Pink
0.88,21.1,400,50.81489714,-0.404758207,1,3.8,38.9,3508.606481,92,118,4,430000,2053,0,Pink
0.25,6.1,400,50.81489714,-0.404758207,1,3.8,30.6,3508.606481,57,122,4,430000,2053,0,Pink
3.05,73.2,400,50.81730478,-0.426424736,1,3.8,71.8,3508.781555,75,39,2,310000,2053,2,Purple
2.24,53.7,400,50.81730478,-0.426424736,1,3.8,41.8,3508.781555,83,24,2,310000,2053,2,Purple
0.94,22.6,400,50.81642575,-0.428597858,1,3.8,31.3,3508.721777,62,34,2,399950,2053,0,Pink
1.13,27.1,400,50.81402144,-0.42903342,1,3.8,38.9,3508.555962,43,27,2,445000,2053,0,Pink
0.14,3.3,400,50.81402144,-0.42903342,1,3.8,31.3,3508.555962,72,83,2,445000,2053,0,Pink
0.89,21.2,350,50.81460567,-0.437715565,1,3.8,38.9,3508.599994,67,86,3,445000,2053,0,Pink
0.89,21.3,350,50.81460567,-0.437715565,1,3.8,38.9,3508.599994,53,59,3,445000,2053,0,Pink
1.86,44.6,350,50.81460567,-0.437715565,1,3.8,32.5,3508.599994,47,115,3,445000,2053,0,Pink
0.99,23.8,350,50.81480785,-0.442748185,1,3.8,36.2,3508.61613,68,89,2,530000,1197,3,Dark Purple
0.92,22.1,350,50.81480785,-0.442748185,1,3.8,27.3,3508.61613,95,103,2,530000,1197,3,Dark Purple
1.25,29.9,350,50.81329387,-0.445211669,1,3.8,203.9,3508.512676,79,103,4,375000,1197,0,Pink
0.14,3.3,350,50.81329387,-0.445211669,1,3.8,203.9,3508.512676,74,107,4,375000,1197,0,Pink
1.19,28.6,350,50.81329387,-0.445211669,1,3.8,33.3,3508.512676,76,116,4,375000,1197,0,Pink
0.26,6.2,350,50.81329387,-0.445211669,1,3.8,51.7,3508.512676,57,45,4,375000,1197,0,Pink
0.99,23.7,350,50.80836012,-0.442778052,1,3.8,36.2,3508.17098,58,28,2,625000,1197,3,Dark Purple
0.98,23.4,350,50.80836012,-0.442778052,1,3.8,36.2,3508.17098,77,36,2,625000,1197,3,Dark Purple
0.29,7.0,400,50.81271189,-0.447431177,1,3.8,67.1,3508.473468,44,38,1,295000,1197,2,Purple
0.23,5.5,350,50.80704344,-0.44452499,1,3.8,51.7,3508.080835,54,101,1,500000,1197,0,Pink
1.66,39.9,400,50.80478893,-0.448786596,1,3.8,103.1,3507.92705,83,65,3,640000,1197,3,Dark Purple
0.83,19.9,400,50.80478893,-0.448786596,1,3.8,103.1,3507.92705,67,97,3,640000,1197,3,Dark Purple
5.12,122.8,400,50.80769729,-0.453118565,1,3.8,33.3,3508.129768,60,32,6,940000,1197,1,Mauve
5.12,122.8,400,50.80769729,-0.453118565,1,3.8,33.3,3508.129768,60,32,6,940000,1197,1,Mauve
0.06,1.5,400,50.80769729,-0.453118565,1,3.8,36.2,3508.129768,64,110,6,940000,1197,1,Mauve
1.01,24.3,350,50.80769729,-0.453118565,1,3.8,68.2,3508.129768,52,79,1,625000,1197,3,Dark Purple
0.73,17.5,350,50.80769729,-0.453118565,1,3.8,22.9,3508.129768,48,72,1,625000,1197,3,Dark Purple
1.67,40.0,450,50.81772411,-0.415024,1,3.8,68.3,3508.805795,61,67,3,230000,2053,2,Purple
0.99,23.6,450,50.81772411,-0.415024,1,3.8,38.9,3508.805795,67,41,3,230000,2053,2,Purple
1.09,26.3,450,50.81772411,-0.415024,1,3.8,13.2,3508.805795,68,89,3,230000,2053,2,Purple
0.07,1.6,400,50.81944276,-0.414952828,1,3.8,103.1,3508.924425,75,41,3,342500,2053,0,Pink
1.85,44.3,400,50.81944276,-0.414952828,1,3.8,51.7,3508.924425,74,93,3,342500,2053,0,Pink
0.16,3.9,400,50.81944276,-0.414952828,1,3.8,27.3,3508.924425,72,81,3,342500,2053,0,Pink
0.04,0.9,450,50.82256615,-0.416479822,1,3.8,34.0,3509.140694,58,43,1,365000,2053,0,Pink
0.94,22.5,400,50.82088343,-0.406499264,1,3.8,31.3,3509.020482,66,106,2,375000,2053,0,Pink
0.06,1.5,452,50.8323584,-0.394662734,1,3.8,33.3,3509.808087,76,21,1,370000,2053,0,Pink
0.9,21.6,450,50.83681605,-0.398372778,1,3.8,51.7,3510.117298,51,60,4,500000,2053,0,Pink
0.91,21.9,450,50.83681605,-0.398372778,1,3.8,22.1,3510.117298,53,67,4,500000,2053,0,Pink
0.05,1.3,450,50.83681605,-0.398372778,1,3.8,22.1,3510.117298,67,34,4,500000,2053,0,Pink
1.15,27.6,450,50.83681605,-0.398372778,1,3.8,51.7,3510.117298,93,42,4,500000,2053,0,Pink
1.94,46.6,450,50.83262683,-0.407689911,1,3.8,41.8,3509.83175,88,128,5,313500,2053,2,Purple
1.82,43.6,450,50.83262683,-0.407689911,1,3.8,55.9,3509.83175,68,42,5,313500,2053,2,Purple
2.85,68.5,450,50.83262683,-0.407689911,1,3.8,11.1,3509.83175,76,101,5,313500,2053,2,Purple
1.24,29.8,450,50.83262683,-0.407689911,1,3.8,11.1,3509.83175,72,33,5,313500,2053,2,Purple
2.23,53.4,450,50.83262683,-0.407689911,1,3.8,13.6,3509.83175,69,45,5,313500,2053,2,Purple
1.02,24.5,450,50.83200724,-0.407100364,1,3.8,22.1,3509.788736,67,97,5,400000,2053,0,Pink
1.79,42.9,450,50.83200724,-0.407100364,1,3.8,22.1,3509.788736,65,55,5,400000,2053,0,Pink
1.26,30.1,450,50.83200724,-0.407100364,1,3.8,55.9,3509.788736,79,77,5,400000,2053,0,Pink
2.2,52.8,450,50.83200724,-0.407100364,1,3.8,41.8,3509.788736,91,57,5,400000,2053,0,Pink
0.06,1.3,450,50.83200724,-0.407100364,1,3.8,36.3,3509.788736,57,29,5,400000,2053,0,Pink
1.03,24.8,450,50.84009308,-0.409807728,1,3.8,38.9,3510.348087,53,42,4,650000,2053,3,Dark Purple
1.32,31.8,480,50.85036066,-0.406319054,1,3.5,0.0,3511.055587,59,36,3,680000,2053,3,Dark Purple
0.74,17.7,480,50.85036066,-0.406319054,1,3.5,4.3,3511.055587,49,63,3,680000,2053,3,Dark Purple
1.95,46.9,480,50.84929847,-0.405588129,1,3.8,67.1,3510.98196,60,98,3,640000,2053,3,Dark Purple
0.94,22.7,480,50.84929847,-0.405588129,1,3.8,67.1,3510.98196,83,85,3,640000,2053,3,Dark Purple
1.01,24.2,480,50.84929847,-0.405588129,1,3.8,51.7,3510.98196,56,93,3,640000,2053,3,Dark Purple
0.93,22.3,480,50.847877,-0.404131,1,3.8,67.1,3510.88324,102,112,2,432000,2053,0,Pink
1.77,42.5,480,50.847877,-0.404131,1,3.5,41.8,3510.88324,88,128,2,1050000,2053,1,Mauve
0.01,0.3,480,50.847877,-0.404131,1,3.5,3.3,3510.88324,71,9,2,1050000,2053,1,Mauve
8.25,197.9,480,50.847877,-0.404131,1,3.8,33.3,3510.88324,24,23,3,662500,2053,3,Dark Purple
1.94,46.5,480,50.847877,-0.404131,1,3.8,51.7,3510.88324,28,31,3,662500,2053,3,Dark Purple
3.12,74.8,480,50.847877,-0.404131,1,3.8,103.1,3510.88324,72,59,3,662500,2053,3,Dark Purple
1.03,24.8,460,50.84587867,-0.402125075,1,3.8,41.8,3510.744477,71,64,3,680000,2053,3,Dark Purple
1.0,24.0,460,50.84587867,-0.402125075,1,3.8,22.9,3510.744477,44,70,3,680000,2053,3,Dark Purple
0.96,23.0,460,50.84587867,-0.402125075,1,3.8,68.3,3510.744477,78,74,3,680000,2053,3,Dark Purple
0.82,19.6,450,50.83882862,-0.419338123,1,3.8,22.1,3510.264663,64,75,2,375000,2053,0,Pink
1.0,23.9,450,50.83882862,-0.419338123,1,3.8,22.1,3510.264663,76,77,2,375000,2053,0,Pink
1.7,40.8,280,50.84642146,-0.446994374,1,4.25,41.8,3510.800643,100,129,3,400000,1197,0,Pink
1.7,40.8,280,50.84642146,-0.446994374,1,4.25,41.8,3510.800643,100,129,3,400000,1197,0,Pink
3.19,76.5,280,50.84642146,-0.446994374,1,4.25,68.3,3510.800643,92,37,3,400000,1197,0,Pink
2.91,69.8,460,50.85375111,-0.403688819,1,3.8,36.3,3511.288627,29,29,1,485000,2053,0,Pink
0.09,2.0,450,50.87288049,-0.409858,1,3.85,31.5,3512.611825,72,30,1,600000,1197,3,Dark Purple
0.09,2.0,450,50.87288049,-0.409858,1,3.85,31.5,3512.611825,72,30,1,720000,1197,3,Dark Purple
0.91,21.9,480,50.87288049,-0.409858,1,3.8,36.2,3512.611825,68,89,4,600000,1197,3,Dark Purple
0.91,21.9,480,50.87288049,-0.409858,1,3.8,36.2,3512.611825,68,89,4,720000,1197,3,Dark Purple
0.66,15.9,480,50.87288049,-0.409858,1,3.8,36.2,3512.611825,68,45,4,600000,1197,3,Dark Purple
0.66,15.9,480,50.87288049,-0.409858,1,3.8,36.2,3512.611825,68,45,4,720000,1197,3,Dark Purple
0.85,20.5,480,50.87288049,-0.409858,1,3.8,33.3,3512.611825,61,21,4,600000,1197,3,Dark Purple
0.85,20.5,480,50.87288049,-0.409858,1,3.8,33.3,3512.611825,61,21,4,720000,1197,3,Dark Purple
2.9,69.5,480,50.87288049,-0.409858,1,3.8,36.2,3512.611825,60,22,4,600000,1197,3,Dark Purple
2.9,69.5,480,50.87288049,-0.409858,1,3.8,36.2,3512.611825,60,22,4,720000,1197,3,Dark Purple
0.78,18.7,480,50.86333731,-0.406942447,1,3.8,27.7,3511.951774,93,116,2,350000,1197,0,Pink
1.02,24.6,480,50.86333731,-0.406942447,1,3.8,27.3,3511.951774,62,78,2,350000,1197,0,Pink
2.14,51.5,480,50.86533001,-0.404032375,1,3.8,41.8,3512.088198,91,57,4,615000,1197,3,Dark Purple
1.19,28.6,480,50.86533001,-0.404032375,1,3.8,41.8,3512.088198,75,36,4,615000,1197,3,Dark Purple
0.79,19.0,480,50.86533001,-0.404032375,1,3.8,41.8,3512.088198,76,100,4,615000,1197,3,Dark Purple
1.88,45.1,480,50.86533001,-0.404032375,1,3.8,27.3,3512.088198,95,48,4,615000,1197,3,Dark Purple
2.84,68.2,450,50.81892435,-0.373857,1,3.85,33.3,3508.872714,45,32,2,123000,2053,2,Purple
2.84,68.2,450,50.81892435,-0.373857,1,3.85,33.3,3508.872714,45,32,2,130000,2053,2,Purple
0.14,3.2,450,50.81892435,-0.373857,1,3.85,7.6,3508.872714,82,36,2,123000,2053,2,Purple
0.14,3.2,450,50.81892435,-0.373857,1,3.85,7.6,3508.872714,82,36,2,130000,2053,2,Purple
1.04,24.8,450,50.82249521,-0.373406129,1,3.8,25.3,3509.119091,63,109,2,180000,2053,2,Purple
1.04,24.8,450,50.82249521,-0.373406129,1,3.8,25.3,3509.119091,63,109,2,180000,2053,2,Purple
0.94,22.6,450,50.82249521,-0.373406129,1,3.5,0.0,3509.119091,69,89,1,180000,2053,2,Purple
2.82,67.6,452,50.82233747,-0.374348663,1,3.8,33.3,3509.108546,10,21,2,205000,2053,2,Purple
1.07,25.7,452,50.82233747,-0.374348663,1,3.8,41.8,3509.108546,75,128,2,205000,2053,2,Purple
1.21,29.1,400,50.82078951,-0.362050757,1,3.8,33.7,3508.997224,76,38,3,287000,2053,2,Purple
1.83,43.8,400,50.82078951,-0.362050757,1,3.8,34.0,3508.997224,29,22,3,287000,2053,2,Purple
0.08,1.9,400,50.82078951,-0.362050757,1,3.8,22.9,3508.997224,54,86,3,287000,2053,2,Purple
4.04,96.9,450,50.82572632,-0.363297889,1,3.5,0.0,3509.33852,51,57,2,130000,2053,2,Purple
4.04,96.9,450,50.82572632,-0.363297889,1,3.5,0.0,3509.33852,51,57,2,186500,2053,2,Purple
1.09,26.2,450,50.82572632,-0.363297889,1,3.5,0.0,3509.33852,47,31,2,130000,2053,2,Purple
1.09,26.2,450,50.82572632,-0.363297889,1,3.5,0.0,3509.33852,47,31,2,186500,2053,2,Purple
0.24,5.7,452,50.83194696,-0.363747767,1,3.8,33.3,3509.768171,76,21,1,275000,2053,2,Purple
1.75,42.1,460,50.8377012,-0.382350562,1,3.8,51.8,3510.172272,21,28,4,475000,2053,0,Pink
2.84,68.2,460,50.8377012,-0.382350562,1,3.8,55.9,3510.172272,78,40,4,475000,2053,0,Pink
0.72,17.3,460,50.8377012,-0.382350562,1,3.8,34.0,3510.172272,47,36,4,475000,2053,0,Pink
1.81,43.5,460,50.8377012,-0.382350562,1,3.8,68.3,3510.172272,40,37,4,475000,2053,0,Pink
0.18,4.4,502,50.83408263,-0.338593472,1,3.8,51.7,3509.906953,53,38,3,158000,1399,2,Purple
0.67,16.0,502,50.83408263,-0.338593472,1,3.8,82.1,3509.906953,54,54,3,158000,1399,2,Purple
1.73,41.5,500,50.83298711,-0.338078527,1,3.5,33.3,3509.831144,71,68,2,150000,1399,2,Purple
1.73,41.5,500,50.83298711,-0.338078527,1,3.5,33.3,3509.831144,71,68,2,142500,1399,2,Purple
1.28,30.8,500,50.83298711,-0.338078527,1,3.5,36.2,3509.831144,65,110,2,150000,1399,2,Purple
1.28,30.8,500,50.83298711,-0.338078527,1,3.5,36.2,3509.831144,65,110,2,142500,1399,2,Purple
1.65,39.6,500,50.82145228,-0.32323987,1,3.5,51.7,3509.029923,72,37,1,151000,1399,2,Purple
1.65,39.6,500,50.82145228,-0.32323987,1,3.5,51.7,3509.029923,72,37,1,260500,1399,2,Purple
1.65,39.6,500,50.82145228,-0.32323987,1,3.5,51.7,3509.029923,72,37,1,205000,1399,2,Purple
1.88,45.0,502,50.823299,-0.312156,1,3.8,18.3,3509.153969,20,27,2,180000,1399,2,Purple
0.76,18.3,502,50.823299,-0.312156,1,3.8,36.2,3509.153969,94,105,2,180000,1399,2,Purple
1.12,27.0,502,50.82559273,-0.324738615,1,3.8,27.3,3509.316271,74,48,2,165000,1399,2,Purple
2.95,70.9,500,50.827443,-0.323877,1,3.5,109.1,3509.443745,33,112,2,190000,1399,2,Purple
2.95,70.9,500,50.827443,-0.323877,1,3.5,109.1,3509.443745,33,112,2,197500,1399,2,Purple
2.95,70.9,500,50.827443,-0.323877,1,3.5,109.1,3509.443745,33,112,2,175000,1399,2,Purple
2.95,70.9,500,50.827443,-0.323877,1,3.5,109.1,3509.443745,33,112,2,174000,1399,2,Purple
2.95,70.9,500,50.827443,-0.323877,1,3.5,109.1,3509.443745,33,112,2,180000,1399,2,Purple
1.84,44.2,500,50.827443,-0.323877,1,3.5,33.3,3509.443745,69,23,2,190000,1399,2,Purple
1.84,44.2,500,50.827443,-0.323877,1,3.5,33.3,3509.443745,69,23,2,197500,1399,2,Purple
1.84,44.2,500,50.827443,-0.323877,1,3.5,33.3,3509.443745,69,23,2,175000,1399,2,Purple
1.84,44.2,500,50.827443,-0.323877,1,3.5,33.3,3509.443745,69,23,2,174000,1399,2,Purple
1.84,44.2,500,50.827443,-0.323877,1,3.5,33.3,3509.443745,69,23,2,180000,1399,2,Purple
0.94,22.6,502,50.827443,-0.323877,1,3.8,31.3,3509.443745,71,47,5,190000,1399,2,Purple
0.94,22.6,502,50.827443,-0.323877,1,3.8,31.3,3509.443745,71,47,5,197500,1399,2,Purple
0.94,22.6,502,50.827443,-0.323877,1,3.8,31.3,3509.443745,71,47,5,175000,1399,2,Purple
0.94,22.6,502,50.827443,-0.323877,1,3.8,31.3,3509.443745,71,47,5,174000,1399,2,Purple
0.94,22.6,502,50.827443,-0.323877,1,3.8,31.3,3509.443745,71,47,5,180000,1399,2,Purple
2.74,65.7,502,50.82751236,-0.32627444,1,3.8,51.7,3509.4493,51,24,7,164000,1399,2,Purple
2.74,65.7,502,50.82751236,-0.32627444,1,3.8,51.7,3509.4493,51,24,7,170000,1399,2,Purple
2.67,64.1,502,50.82751236,-0.32627444,1,3.8,71.8,3509.4493,88,73,7,164000,1399,2,Purple
2.67,64.1,502,50.82751236,-0.32627444,1,3.8,71.8,3509.4493,88,73,7,170000,1399,2,Purple
2.05,49.2,500,50.82791299,-0.329128417,1,3.5,71.8,3509.477879,70,118,1,165000,1399,2,Purple
2.05,49.2,500,50.82791299,-0.329128417,1,3.5,71.8,3509.477879,70,118,1,170000,1399,2,Purple
0.75,18.0,502,50.83236739,-0.327435679,1,3.8,27.7,3509.78488,52,87,2,125000,1399,2,Purple
0.75,18.0,502,50.83236739,-0.327435679,1,3.8,27.7,3509.78488,52,87,2,120000,1399,2,Purple
0.06,1.5,502,50.83236739,-0.327435679,1,3.8,67.1,3509.78488,66,25,2,125000,1399,2,Purple
0.06,1.5,502,50.83236739,-0.327435679,1,3.8,67.1,3509.78488,66,25,2,120000,1399,2,Purple
0.13,3.1,320,50.81029203,-0.486388733,1,3.8,33.3,3508.324267,80,32,1,675000,1197,3,Dark Purple
0.91,21.8,320,50.80441969,-0.455525939,1,3.8,51.7,3507.904552,73,61,5,775000,1197,1,Mauve
0.13,3.0,320,50.80441969,-0.455525939,1,3.8,68.3,3507.904552,76,67,5,775000,1197,1,Mauve
1.01,24.3,320,50.80441969,-0.455525939,1,3.8,51.7,3507.904552,54,75,5,775000,1197,1,Mauve
7.08,169.9,320,50.80441969,-0.455525939,1,3.8,71.8,3507.904552,72,73,5,775000,1197,1,Mauve
4.74,113.8,320,50.80441969,-0.455525939,1,3.8,68.3,3507.904552,69,56,5,775000,1197,1,Mauve
5.09,122.2,320,50.81191021,-0.500970907,1,3.8,67.1,3508.44306,79,63,3,710000,1197,3,Dark Purple
2.78,66.8,320,50.81191021,-0.500970907,1,3.8,82.1,3508.44306,55,23,3,710000,1197,3,Dark Purple
0.82,19.7,320,50.81191021,-0.500970907,1,3.8,103.1,3508.44306,63,41,3,710000,1197,3,Dark Purple
1.02,24.5,320,50.8093771,-0.509624952,1,3.8,27.7,3508.272468,76,43,2,380000,1197,0,Pink
1.67,40.1,320,50.8093771,-0.509624952,1,3.8,33.3,3508.272468,57,43,2,380000,1197,0,Pink
1.72,41.4,250,50.82860094,-0.480074317,1,3.8,22.9,3509.585338,53,60,3,855000,1197,1,Mauve
0.9,21.7,220,50.84668307,-0.614192185,1,3.8,3.5,3510.905747,72,113,2,630000,1197,3,Dark Purple
3.99,95.8,220,50.84668307,-0.614192185,1,3.8,3.5,3510.905747,57,26,2,630000,1197,3,Dark Purple
1.3,31.2,220,50.84688439,-0.636629954,1,3.8,51.7,3510.933414,74,37,4,725000,1197,3,Dark Purple
0.63,15.1,220,50.84688439,-0.636629954,1,3.8,20.7,3510.933414,81,101,4,725000,1197,3,Dark Purple
2.12,50.9,220,50.84688439,-0.636629954,1,3.8,22.9,3510.933414,21,3,4,725000,1197,3,Dark Purple
2.17,52.0,220,50.84688439,-0.636629954,1,3.8,68.2,3510.933414,116,56,4,725000,1197,3,Dark Purple
2.0,48.0,220,50.80740455,-0.61596483,1,3.8,19.2,3508.195084,57,16,4,450000,1197,0,Pink
0.75,17.9,220,50.80740455,-0.61596483,1,3.8,71.8,3508.195084,69,118,4,450000,1197,0,Pink
3.86,92.7,220,50.80740455,-0.61596483,1,3.8,33.3,3508.195084,64,17,4,450000,1197,0,Pink
1.13,27.2,220,50.80740455,-0.61596483,1,3.8,38.9,3508.195084,60,48,4,450000,1197,0,Pink
3.12,75.0,220,50.85472795,-0.622222436,1,3.8,71.8,3511.466024,70,46,5,390000,1197,0,Pink
3.12,75.0,220,50.85472795,-0.622222436,1,3.8,71.8,3511.466024,70,46,5,390000,1197,0,Pink
8.92,214.1,220,50.85472795,-0.622222436,1,3.8,71.8,3511.466024,30,18,5,390000,1197,0,Pink
1.36,32.6,220,50.85472795,-0.622222436,1,3.8,6.1,3511.466024,66,44,5,390000,1197,0,Pink
0.26,6.3,220,50.84345199,-0.616248032,1,3.8,3.2,3510.683919,62,101,2,885000,1197,1,Mauve
0.99,23.8,220,50.84345199,-0.616248032,1,3.8,6.1,3510.683919,82,36,2,885000,1197,1,Mauve
1.11,26.6,220,50.84690843,-0.624881805,1,3.8,36.2,3510.927804,38,73,2,557500,1197,3,Dark Purple
1.1,26.3,220,50.84690843,-0.624881805,1,3.8,38.9,3510.927804,92,118,2,557500,1197,3,Dark Purple
0.95,22.8,220,50.85138015,-0.637337073,1,3.8,67.1,3511.244235,86,88,7,650500,1197,3,Dark Purple
2.85,68.5,220,50.85138015,-0.637337073,1,3.8,41.8,3511.244235,58,22,7,650500,1197,3,Dark Purple
2.01,48.2,220,50.85138015,-0.637337073,1,3.8,41.8,3511.244235,72,44,7,650500,1197,3,Dark Purple
0.89,21.4,220,50.85138015,-0.637337073,1,3.8,3.2,3511.244235,65,42,7,650500,1197,3,Dark Purple
1.69,40.6,220,50.85138015,-0.637337073,1,3.8,46.4,3511.244235,19,6,7,650500,1197,3,Dark Purple
0.25,5.9,220,50.85138015,-0.637337073,1,3.8,68.2,3511.244235,76,67,7,650500,1197,3,Dark Purple
0.25,6.0,220,50.85138015,-0.637337073,1,3.8,6.1,3511.244235,68,36,7,650500,1197,3,Dark Purple
0.91,21.8,220,50.85444181,-0.644635592,1,3.8,3.2,3511.460195,65,42,2,440000,1197,0,Pink
1.05,25.1,220,50.85444181,-0.644635592,1,3.8,6.1,3511.460195,82,36,2,440000,1197,0,Pink
0.79,19.0,250,50.85387636,-0.560603087,1,3.8,71.8,3511.371486,70,29,3,535000,1197,3,Dark Purple
1.77,42.4,250,50.85387636,-0.560603087,1,3.8,22.1,3511.371486,56,97,3,535000,1197,3,Dark Purple
1.88,45.1,250,50.85387636,-0.560603087,1,3.8,68.2,3511.371486,92,44,3,535000,1197,3,Dark Purple
2.87,68.9,250,50.85375923,-0.555918,1,3.8,41.8,3511.360833,10,76,3,450000,1197,0,Pink
0.18,4.4,250,50.85042373,-0.566505415,1,3.8,51.7,3511.13638,60,28,4,354000,1197,0,Pink
1.24,29.8,250,50.85042373,-0.566505415,1,3.8,22.1,3511.13638,90,62,4,354000,1197,0,Pink
2.98,71.5,250,50.85042373,-0.566505415,1,3.8,22.9,3511.13638,52,64,4,354000,1197,0,Pink
1.71,41.1,250,50.85042373,-0.566505415,1,3.8,41.8,3511.13638,100,129,4,354000,1197,0,Pink
